customer_id,name,age,gender,occupation,income,transaction_count,total_transaction_amount,average_transaction_amount,median_transaction_amount,activity_segment,spending_segment
C00001,Garima Gulati,61,Male,Software Engineer,92097.0,6,275824.36,45970.73,40535.84,Low Activity,Low Spender
C00002,Lucky Krishna,36,Male,Business Owner,46868.0,8,486051.3,60756.41,73031.1,Low Activity,Medium Spender
C00003,Ayush Bal,64,Male,Other,130604.0,14,648737.87,46338.42,34598.27,Medium Activity,High Spender
C00004,Waida Sundaram,23,Male,Teacher,77314.0,11,571029.19,51911.74,39688.82,Medium Activity,High Spender
C00005,Daksha Ahluwalia,35,Male,Farmer,72124.0,5,269584.57,53916.91,66717.06,Low Activity,Low Spender
C00006,Niharika Bir,62,Female,Doctor,137757.0,11,565128.41,51375.31,41401.71,Medium Activity,Medium Spender
C00007,Sathvik Parmer,58,Female,Software Engineer,61853.0,11,651077.46,59188.86,78284.74,Medium Activity,High Spender
C00008,Urvi Shere,65,Female,Government Employee,92842.0,15,729053.0,48603.53,47604.13,Medium Activity,High Spender
C00009,Praneel Desai,30,Male,Government Employee,46793.0,9,442820.14,49202.24,37345.9,Medium Activity,Medium Spender
C00010,Naveen Pillay,26,Female,Teacher,114104.0,7,291887.45,41698.21,21154.69,Low Activity,Low Spender
C00011,Ishani Chada,43,Female,unknown,140435.0,11,455682.03,41425.64,34389.85,Medium Activity,Medium Spender
C00012,Krish Mand,55,Male,unknown,40656.0,11,716311.15,65119.2,77933.73,Medium Activity,High Spender
C00013,Lakshmi Sunder,56,Female,unknown,114800.0,6,288681.4,48113.57,42119.34,Low Activity,Low Spender
C00014,Forum Rana,57,Male,unknown,32012.0,11,507547.25,46140.66,47391.5,Medium Activity,Medium Spender
C00015,Jeet Hora,63,Male,unknown,40916.0,13,564102.01,43392.46,49087.81,Medium Activity,Medium Spender
C00016,Bakhshi Saha,35,Male,Student,92869.0,12,587911.12,48992.59,52398.96,Medium Activity,High Spender
C00017,Ansh Tella,50,Female,Business Owner,117040.0,15,1014112.22,67607.48,72676.61,Medium Activity,High Spender
C00018,Jyoti Kaur,43,Male,Accountant,199187.0,7,338676.12,48382.3,39402.55,Low Activity,Low Spender
C00019,Vaishnavi Cherian,62,Male,Other,186455.0,9,430607.37,47845.26,32784.04,Medium Activity,Medium Spender
C00020,Noah Sathe,31,Male,Business Owner,141178.0,13,470158.01,36166.0,23805.64,Medium Activity,Medium Spender
C00021,Ishita Gera,45,Female,Farmer,111078.0,9,465313.2,51701.47,52179.36,Medium Activity,Medium Spender
C00022,Ekansh Nair,64,Female,Software Engineer,111078.0,11,697818.23,63438.02,82184.76,Medium Activity,High Spender
C00023,Vasatika Behl,23,Female,Student,111078.0,10,537660.06,53766.01,51676.0,Medium Activity,Medium Spender
C00024,Kiaan Apte,25,Male,Other,111078.0,8,367769.1,45971.14,54828.68,Low Activity,Low Spender
C00025,Neel Sami,34,Female,Student,111078.0,6,190372.86,31728.81,32152.73,Low Activity,Low Spender
C00026,Lohit Morar,50,Male,Accountant,56603.0,7,347903.4,49700.49,68485.17,Low Activity,Low Spender
C00027,Rushil Shere,36,Female,Other,132311.0,5,308097.19,61619.44,64961.95,Low Activity,Low Spender
C00028,Panini Rama,58,Female,Government Employee,77493.0,10,377070.75,37707.07,25543.98,Medium Activity,Low Spender
C00029,Ekaraj Tiwari,29,Female,Teacher,32351.0,10,589814.44,58981.44,62181.39,Medium Activity,High Spender
C00030,Ria Dani,28,Male,Business Owner,198384.0,8,433647.59,54205.95,53455.22,Low Activity,Medium Spender
C00031,Farhan Tata,48,Male,Student,120039.0,7,363681.55,51954.51,57444.19,Low Activity,Low Spender
C00032,Ranbir Dalal,59,Female,Farmer,85906.0,11,531464.39,48314.94,43090.47,Medium Activity,Medium Spender
C00033,Teerth Morar,56,Male,Teacher,198706.0,11,671583.8,61053.07,63791.21,Medium Activity,High Spender
C00034,Viraj Lalla,55,Female,Government Employee,49242.0,8,404613.1,50576.64,42096.54,Low Activity,Low Spender
C00035,Bhanumati Ganesh,39,Female,Business Owner,138940.0,13,817883.26,62914.1,65636.71,Medium Activity,High Spender
C00036,Kamala Bhagat,21,Female,Farmer,66832.0,14,758199.05,54157.08,52543.18,Medium Activity,High Spender
C00037,Christopher Krishna,53,Male,Accountant,187496.0,10,711095.98,71109.6,85664.8,Medium Activity,High Spender
C00038,Zehaan Kapur,53,Male,Business Owner,118019.0,13,674492.91,51884.07,47475.04,Medium Activity,High Spender
C00039,Tara Samra,31,Male,Other,104975.0,7,279752.21,39964.6,32921.15,Low Activity,Low Spender
C00040,Adweta Date,52,Male,Teacher,115153.0,13,837886.38,64452.8,64160.97,Medium Activity,High Spender
C00041,Ayaan Lala,40,Male,Software Engineer,83143.0,9,299325.61,33258.4,35734.39,Medium Activity,Low Spender
C00042,Yuvraj Bhasin,57,Male,Teacher,147399.0,14,803312.13,57379.44,56131.76,Medium Activity,High Spender
C00043,Vasatika Gill,25,Male,Business Owner,192949.0,18,784528.4,43584.91,37607.36,High Activity,High Spender
C00044,Radha Guha,51,Male,Accountant,158326.0,8,313262.56,39157.82,40988.96,Low Activity,Low Spender
C00045,Lucky Sarin,59,Female,Doctor,161373.0,12,512012.3,42667.69,47461.6,Medium Activity,Medium Spender
C00046,Jeet Sood,65,Male,Accountant,124593.0,4,233433.0,58358.25,63986.99,Low Activity,Low Spender
C00047,Dakshesh Yohannan,63,Female,Sales Executive,155679.0,13,628389.78,48337.68,54167.04,Medium Activity,High Spender
C00048,Ganga Nayak,49,Male,Doctor,78903.0,11,624135.52,56739.59,67811.1,Medium Activity,High Spender
C00049,Maya Raghavan,25,Female,Software Engineer,174221.0,9,440664.97,48962.77,50006.41,Medium Activity,Medium Spender
C00050,Omisha Naidu,56,Male,Other,77728.0,10,437149.69,43714.97,41947.78,Medium Activity,Medium Spender
C00051,Ojas Muni,21,Male,Software Engineer,80015.0,15,891900.06,59460.0,58482.63,Medium Activity,High Spender
C00052,Tara Mand,25,Male,Government Employee,38574.0,8,376681.89,47085.24,60044.63,Low Activity,Low Spender
C00053,Varenya Bora,53,Male,Accountant,195368.0,8,500091.61,62511.45,61451.69,Low Activity,Medium Spender
C00054,Libni Kakar,52,Male,Farmer,54684.0,13,621392.6,47799.43,43927.41,Medium Activity,High Spender
C00055,Owen Bedi,57,Female,Doctor,143987.0,9,453871.0,50430.11,52403.56,Medium Activity,Medium Spender
C00056,Hema Doshi,47,Male,Teacher,45409.0,14,735573.88,52540.99,62225.1,Medium Activity,High Spender
C00057,Harita Minhas,63,Female,Government Employee,131038.0,8,282071.01,35258.88,19172.75,Low Activity,Low Spender
C00058,Nikita Comar,47,Female,Software Engineer,196518.0,5,308389.69,61677.94,54865.94,Low Activity,Low Spender
C00059,Raagini Bandi,62,Male,Software Engineer,125544.0,12,424056.38,35338.03,26271.34,Medium Activity,Medium Spender
C00060,Oeshi Sandal,42,Male,Doctor,70224.0,14,682365.67,48740.41,41670.52,Medium Activity,High Spender
C00061,Arin Bail,33,Female,Business Owner,130593.0,15,833294.94,55553.0,52901.87,Medium Activity,High Spender
