customer_id,name,age,gender,city,state,occupation,income,join_date
C00001,Garima Gulati,61,Male,Dehradun,Tamil Nadu,Software Engineer,92097.0,2022-09-11
C00002,Lucky Krishna,36,Male,Chinsurah,Odisha,Business Owner,46868.0,2022-09-03
C00003,Ayush Bal,64,Male,Gaya,Uttar Pradesh,Other,130604.0,2021-10-31
C00004,Waida Sundaram,23,Male,Orai,Sikkim,Teacher,77314.0,2022-02-15
C00005,Daksha Ahluwalia,35,Male,Panvel,Uttar Pradesh,Farmer,72124.0,2026-02-11
C00006,Niharika Bir,62,Female,Nanded,Chhattisgarh,Doctor,137757.0,2024-10-11
C00007,Sathvik Parmer,58,Female,Bharatpur,Jharkhand,Software Engineer,61853.0,2022-03-03
C00008,Urvi Shere,65,Female,Firozabad,West Bengal,Government Employee,92842.0,2022-05-26
C00009,Praneel Desai,30,Male,Jehanabad,West Bengal,Government Employee,46793.0,2025-03-20
C00010,Naveen Pillay,26,Female,Bokaro,Rajasthan,Teacher,114104.0,2024-01-02
C00011,Ishani Chada,43,Female,Panvel,Tripura,unknown,140435.0,2022-03-01
C00012,Krish Mand,55,Male,Sikar,Goa,unknown,40656.0,2022-12-05
C00013,Lakshmi Sunder,56,Female,Dharmavaram,Punjab,unknown,114800.0,2026-02-16
C00014,Forum Rana,57,Male,Aizawl,Meghalaya,unknown,32012.0,2025-01-30
C00015,Jeet Hora,63,Male,Muzaffarnagar,Tamil Nadu,unknown,40916.0,2025-01-29
C00016,Bakhshi Saha,35,Male,Kirari Suleman Nagar,Arunachal Pradesh,Student,92869.0,2021-10-25
C00017,Ansh Tella,50,Female,Sonipat,Karnataka,Business Owner,117040.0,2024-10-18
C00018,Jyoti Kaur,43,Male,Jaunpur,Kerala,Accountant,199187.0,2024-05-16
C00019,Vaishnavi Cherian,62,Male,Mehsana,Tamil Nadu,Other,186455.0,2023-10-02
C00020,Noah Sathe,31,Male,Shahjahanpur,Uttar Pradesh,Business Owner,141178.0,2023-03-28
C00021,Ishita Gera,45,Female,Burhanpur,Mizoram,Farmer,111078.0,2022-10-29
C00022,Ekansh Nair,64,Female,Bhiwandi,Tripura,Software Engineer,111078.0,2022-06-16
C00023,Vasatika Behl,23,Female,Kakinada,Gujarat,Student,111078.0,2022-02-05
C00024,Kiaan Apte,25,Male,Orai,Uttarakhand,Other,111078.0,2023-06-03
C00025,Neel Sami,34,Female,Buxar,Karnataka,Student,111078.0,2024-03-07
C00026,Lohit Morar,50,Male,Anantapur,West Bengal,Accountant,56603.0,2024-03-11
C00027,Rushil Shere,36,Female,Nanded,Maharashtra,Other,132311.0,2023-07-04
C00028,Panini Rama,58,Female,Nellore,Gujarat,Government Employee,77493.0,2022-11-08
C00029,Ekaraj Tiwari,29,Female,Jaunpur,Sikkim,Teacher,32351.0,2022-02-23
C00030,Ria Dani,28,Male,Dehradun,Karnataka,Business Owner,198384.0,2023-07-07
C00031,Farhan Tata,48,Male,unknown,West Bengal,Student,120039.0,2022-02-01
